ticker,address,decimals
LIT,0xfd0205066521550d7d7ab19da8f72bb004b4c341,18
BADGER,0x3472a5a71965499acd81997a54bba8d852c6e53d,18
GRT,0xc944e90c64b2c07662a292be6244bdf05cda44a7,18
LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,18
StETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,18
cWETHv3,0xa17581a9e3356d9a858b789d68b4d866e593ae94,18
AJNA,0x9a96ec9b57fb64fbc60b423d1f4da7691bd35079,18
aEthWETH,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,18
aEthDAI,0x018008bfb33d285247a21d44e50697654f754e63,18
aEthwstETH,0x0b925ed163218f6662a35e0f0371ac234f9e9371,18
aEthUSDC,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,6
aEthLINK,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a,18
aEthWBTC,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,8
UP,0x1e31b601488e97bc247c57af7b6aa336edbc5477,18
aEthAAVE,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,18
LSETH,0x8c1bed5b9a0928467c9b1341da1d7bd5e10b6549,18
STAKE,0x0ae055097c6d159879521c384f1d2123d1f195e6,18
TRB,0x88df592f8eb5d7bd38bfef7deb0fbc02cf3778a0,18
YFI,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,18
wNXM,0x0d438f3b5175bebc262bf23753c1e53d03432bde,18
BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef,18
ABYSS,0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6,18
UMA,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,18
MATH,0x08d967bb0134f2d07f7cfb6e246680c53927dd30,18
WTAO,0x77e06c9eccf2e797fd462a92b6d7642ef85b0a44,9
0x0,0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5,9
VERSE,0x249ca82617ec3dfb2589c4c17ab7ec9765350a18,18
aEthcbETH,0x977b6fc5de62598b08c85ac8cf2b745874e8b78c,18
aEthrETH,0xcc9ee9483f662091a1de4795249e24ac0ac2630f,18
aEthUSDT,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,6
Bonk,0x1151cb3d861920e07a38e03eead12c32178567f6,5
BLZ,0x5732046a883704404f284ce41ffadd5b007fd668,18
TRUST,0x57700244b20f84799a31c6c96dadff373ca9d6c5,18
LPT,0x58b6a8a3302369daec383334672404ee733ab239,18
POWR,0x595832f8fc6bf59c85c527fec3740a1b7a361269,6
DTH,0x5adc961d6ac3f7062d2ea45fefb8d8167d44b190,18
PAR_2,0x1beef31946fbbb40b877a72e4ae04a8d1a5cee06,18
BNT,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,18
REPv2,0x221657776846890989a759ba2973e427dff5c9bb,18
WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8
AST,0x27054b13b1b798b345b591a4d22e6562d47ea75a,4
CREAM,0x2ba592f78db6436527729929aaf6c908497cb200,18
aEthLUSD,0x3fe6a295459fae07df8a0cecc36f37160fe86aa9,18
gtcETH,0x36c833eed0d376f75d1ff9dfdee260191336065e,18
XFT,0x76bc677d444f1e9d57daf5187ee2b7dc852745ae,18
MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,18
QNT,0x4a220e6096b25eadb88358cb44068a3248254675,18
XIO,0x0f7f961648ae6db43c75663ac7e5414eb79b5704,18
NMR,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,18
EWTB,0x178c820f862b14f316509ec36b13123da19a6054,18
OWL,0x1a5f9352af8af974bfc03399e3767df6370d82e4,18
VEE,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,18
REN,0x408e41876cccdc0f92210600ef50372656052a38,18
FUN,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,8
CVC,0x41e5560054824ea6b0732e656e3ad64e20e94e45,8
BUSD,0x4fabb145d64652a948d72533023f6e7a623c7c53,18
LINK,0x514910771af9ca656af840dff83e8264ecf986ca,18
GEN,0x543ff227f64aa17ea132bf9886cab5db55dcaddf,18
DEV,0x5caf454ba92e6f2c929df14667ee360ed9fd5b26,18
cDAI,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,8
PIE,0x607c794cda77efb21f8848b7910ecf27451ae842,18
RLC,0x607f4c5bb672230e8672085532f7e901544a7375,9
GNO,0x6810e776880c02933d47db1b9fc05908e5386b96,18
VLT,0x6b785a0322126826d8226d77e173d75dafb84d11,18
GEEQ,0x6b9f031d718dded0d681c20cb754f97b3bb81b78,18
HOT,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,18
SNT,0x744d70fdbe2ba4cf95131626614a1763df805b9e,18
buidl_1,0x7b123f53421b1bf8533339bfbdc7c98aa94163db,18
SAN,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,18
XRT,0x7de91b204c1c737bcee6f000aaa6569cf7061cb7,9
LEND,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,18
MDT_1,0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26,18
OGN,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,18
UBT,0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,8
DIA,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,18
PNT,0x89ab32156e46f46d02ade3fecbe5fc4243b9aaed,18
AKRO,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,18
SXP,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,18
USDP,0x8e870d67f660d95d5be530380d0ec0bd388289e1,18
AGI,0x8eb24319393716668d768dcec29356ae9cffe285,8
REQ,0x8f8221afbb33998d8584a2b05749ba73c37a938a,18
ORN,0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,8
PNK,0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,18
LOCK_1,0x95172ccbe8344fecd73d0a30f54123652981bd6f,18
ANTv1,0x960b236a07cf122663c4303350609a66a7b288c0,18
OCEAN,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,18
STRONG,0x990f341946a3fdb507ae7e52d17851b87168017c,18
POLY,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,18
DZAR,0x9cb2f26a23b8d89973f08c957c4d7cdf75cd341c,6
MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,18
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6
YFII,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,18
MTA,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,18
EQMT,0xa462d0e6bb788c7807b1b1c96992ce1f7069e195,18
CEL,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,4
TKN,0xaaaf91d9b90df800df4f55c205fd6989c977e73a,8
PERL,0xeca82185adce47f39c684352b0439f030f860318,18
REL,0xb6c4267c4877bb0d6b1685cfd85b0fbe82f105ec,18
BAL,0xba100000625a3754423978a60c9317c58a424e3d,18
BAND,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,18
LRC,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,18
eMTRG,0xbd2949f67dcdc549c6ebe98696449fa79d988a9f,18
ELF,0xbf2179859fc6d5bee9bf9158632dc51678a4100e,18
COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,18
SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18
ALEPH,0x27702a26126e0b3702af63ee09ac4d1a084ef628,18
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18
EQUAD,0xc28e931814725bbeb9e670676fabbcb694fe7df2,18
TRND,0xc3dd23a0a854b4f9ae80670f528094e9eb607ccb,18
SWAP,0xcc4304a31d09258b0029ea7fe63d032f52e44efe,18
ANJ,0xcd62b1c403fa761baadfc74c525ce2b51780b184,18
OMG,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,18
AMPL,0xd46ba6d942050d489dbd938a2c909a5d5039a161,9
CND,0xd4c435f5b09f855c3317c8524cb1f586e42795fa,18
BUIDL_2,0xd6f0bb2a45110f819e908a915237d652ac7c5aa8,18
PLU,0xd8912c10681d8b21fd3742244f44658dba12264e,18
USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6
EURS,0xdb25f211ab05b1c97d595516f45794528a807ad8,2
KNCL,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,18
MFT,0xdf2c7238198ad8b389666574f2d8bc411a4b7428,18
KARMA,0xdfe691f37b6264a90ff507eb359c45d55037951c,4
RMPL,0xe17f017475a709de58e976081eb916081ff4c9d5,9
PLR,0xe3818504c1b32bf1557b16c238b2e01fd3149c17,18
ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498,18
2KEY,0xe48972fcd82a274411c01834e2f031d4377fa2c0,18
renBTC,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,8
MLN,0xec67005c4e498ec7f55e092bd1d35cbc47c91892,18
UNC,0xf29e46887ffae92f1ff87dfe39713875da541373,18
POWER,0xf2f9a7e93f845b3ce154efbeb64fb9346fcce509,18
ENJ,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,18
cUSDT,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,8
IND,0xf8e386eda857484f5a12e4b5daa9984e06e73705,18
XAMP,0xf911a7ec46a2c6fa49193212fe4a2a9b95851c27,9
ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18
CHAI,0x06af07097c9eeb7fd685c692751d5c66db49c215,18
cSAI,0xf5dce57282a584d2746faf1593d3121fcac444dc,8
cUSDC,0x39aa39c021dfbae8fac545936693ac917d5e7563,8
HT,0x6f259637dcd74c767781e37bc6133cd6a68aa161,18
MATIC,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,18
DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18
SAI,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,18
sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,18
TUSD,0x0000000000085d4780b73119b644ae5ecd22b376,18
yDAIv2,0x16de59092dae5ccf4a1e6439d611fd0653f0bd01,18
yDAIv3,0xc2cb1040220768554cf699b0d863a3cd4324ce32,18
yBTC,0x04aa51bbcb46541455ccf1b8bef2ebc5d3787ec9,8
yUSDTv2,0x83f798e925bcd4017eb265844fddabb448f1707d,6
yUSDTv3,0xe6354ed5bc4b393a5aad09f21c46e101e692d447,6
yUSDCv2,0xd6ad7a6750a7593e092a9b218d66c0a814a3436e,6
yUSDCv3,0x26ea744e5b887e5205727f55dfbe8685e3b21951,6
BCDT,0xacfa209fb73bf3dd5bbfb1101b9bc999c49062a5,18
LST,0x4de2573e27e648607b50e1cfff921a33e4a34405,18
GUSD,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,2
XPR,0xd7efb00d12c2c13131fd319336fdf952525da2af,4
KEEP,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,18
renZEC,0x1c5db575e2ff833e46a2e9864c22f4b22e0b37c2,8
DONUT,0xc0f9bd5fa5698b6505f643900ffa515ea5df54a9,18
PAXG,0x45804880de22913dafe09f4980848ece6ecbaf78,18
